Model,MSPE,MSPE_ratio,R2_OS_percent,Success_ratio,CW_stat,CW_p_value,DA_stat,DA_p_value
Historical average,0.00898727216618013,1,NA,0.5528455284552846,NA,NA,NA,NA
Elastic Net,0.0077378412033728,0.8609777316515415,13.902226834845855,0.6097560975609756,1.7613015531733145,0.0390936886609049,2.15881297547398,0.01543233971319568
Lasso,0.00770814270996775,0.8576732258063966,14.23267741936034,0.5853658536585366,1.7521457460214076,0.03987437494245083,1.5986484109281132,0.05494937326227622
Ridge,0.00816293231005885,0.9082769675960918,9.17230324039082,0.6097560975609756,1.714864573699871,0.04318502954780645,2.0829568753281893,0.01862757730034003
PC,0.00804604716504201,0.8952713366487292,10.472866335127083,0.6178861788617886,2.023412024777727,0.0215153427310667,2.5481791451821323,0.00541434236651516
PLS,0.00828563259863118,0.9219296406545608,7.807035934543927,0.5365853658536586,1.7646942390092637,0.03880758366679415,0.7829157475234882,0.2168382947014091
Mean,0.00871022886171519,0.9691738161099116,3.08261838900884,0.5772357723577236,1.454047926265873,0.07296650964069584,1.0954425801062762,0.13666139414937306
Median,0.00890591436473797,0.9909474421228366,0.9052557877163414,0.5609756097560976,0.7322986627929309,0.23199314766800516,0.6200653677167502,0.2676073759011267
Trimmed mean,0.00878751978871343,0.9777738591006075,2.2226140899392344,0.5691056910569106,1.3481736570142655,0.0888012676362917,0.8958248177416834,0.18517316643814863
DMSPE(1),0.00867460964153333,0.9652105200704412,3.478947992955872,0.5772357723577236,1.5113211310583266,0.06535332635227131,1.1713771952362684,0.12072359731261072
DMSPE(0.9),0.00865663833676547,0.9632108805318184,3.678911946818153,0.5691056910569106,1.5177099541945882,0.06454376678121698,0.9718274291918874,0.1655682038538352
Screening 1,0.00802492906899973,0.8929215584677868,10.707844153221323,0.5528455284552846,1.8182749431057241,0.03451106027157802,0.8009565797853427,0.2115783915475452
Screening 2,0.00761006867875359,0.8467606786618659,15.323932133813411,0.6504065040650406,2.0404235948584737,0.02065407691743415,3.3457087251002804,4.103628085521116e-4
Screening 3,0.007464448833739059,0.8305577816846818,16.944221831531824,0.6422764227642277,2.135029674946115,0.01637929312317965,2.994155884171206,0.001376026496385352
Screening 4,0.007556275953448355,0.8407752445601079,15.922475543989211,0.6341463414634146,2.1520909847185647,0.015695094530787435,2.8708097796779386,0.0020471090806174486
Screening 5,0.007562854870762583,0.8415072706067859,15.849272939321413,0.6341463414634146,2.143778574272218,0.016025316437624726,2.8708097796779386,0.0020471090806174486
Screening 6,0.00754141534591846,0.8391217275356856,16.08782724643144,0.6585365853658537,2.247096809903427,0.012316920382036467,3.3928353230195727,3.458660496638011e-4
Screening 7,0.007526163085657364,0.8374246319121113,16.257536808788874,0.6666666666666666,2.3542152989230343,0.00928092829076832,3.5921777120587066,1.6396304458943245e-4
Screening 8,0.007650892330570303,0.8513030638330122,14.869693616698775,0.6666666666666666,2.2898616528296967,0.011014668905449665,3.5921777120587066,1.6396304458943245e-4
Screening 9,0.007761288593868121,0.8635866868563862,13.641331314361382,0.6585365853658537,2.223783795562446,0.013081497081838589,3.4308455958484028,3.008514904854209e-4
Screening 10,0.007764292939128065,0.8639209757489881,13.607902425101193,0.6504065040650406,2.234593186892233,0.012722034269534443,3.2314937458683226,6.157250938201297e-4
Screening 11,0.008096257896210006,0.9008582077526157,9.91417922473843,0.6097560975609756,2.1666896386711847,0.015129263589807374,2.2347452018651675,0.012717040618619002
Screening 12,0.008285611231037396,0.9219272631151474,7.807273688485261,0.6178861788617886,2.1190857327665737,0.01704161111711866,2.3961235797209692,0.008284751389544098
Screening 13,0.00845891178229627,0.9412101498525737,5.878985014742632,0.5934959349593496,2.1530868768349127,0.015655925711681506,1.9120368623698591,0.027935733049302858
Screening 14,0.008394516591265227,0.9340449956388882,6.595500436111179,0.6178861788617886,2.2187595288327513,0.01325154435976339,2.4340993711682883,0.007464447985431111
Screening 15,0.00819308422681441,0.9116319251625291,8.836807483747089,0.6260162601626016,2.281172628147544,0.011269116889691344,2.595471789567812,0.0047230578486969765
Screening CV,0.007909074664134885,0.8800306163974203,11.99693836025797,0.6016260162601627,2.021374795447458,0.021620490895019495,1.9594442908256524,0.025030389008253162
Boosting 1,0.008780975223743753,0.9770456553866593,2.295434461334067,0.5853658536585366,1.8182749431057215,0.03451106027157824,1.1053441468245089,0.13450524775860895
Boosting 5,0.007908623230141444,0.8799803860288399,12.001961397116013,0.5853658536585366,2.264411581024855,0.011774406171308982,1.4088377703877222,0.07944157192877066
Boosting 10,0.007451364607989308,0.829101919938446,17.089808006155405,0.6260162601626016,2.157085971842945,0.015499483214295506,2.6334495435707557,0.004226119655586391
Boosting 25,0.007358095294812036,0.81872398640615,18.127601359385004,0.6422764227642277,2.131761826350367,0.016513215647779855,3.0321449645654615,0.0012141127937463914
Boosting 50,0.007626668340572653,0.848607697591762,15.139230240823798,0.6504065040650406,2.0059345932602755,0.022431613414683138,3.1934953024015513,7.028081227133942e-4
Boosting 100,0.007840685967441478,0.8724211109291472,12.75788890708528,0.6504065040650406,2.013530589931134,0.02202942009740827,3.1555312329844307,8.010305629542191e-4
Boosting 200,0.007941990830710819,0.8836931478048702,11.630685219512982,0.6585365853658537,2.071781496884098,0.01914291150732117,3.279022210902577,5.208371848198778e-4
Boosting 300,0.008038725841202961,0.8944567041658497,10.554329583415035,0.6585365853658537,2.0932853030789134,0.018161846908153922,3.279022210902577,5.208371848198778e-4
Boosting CV,0.0076899909283568045,0.855653504886042,14.434649511395802,0.6016260162601627,1.7842881656912937,0.03718842611971851,1.9594442908256524,0.025030389008253162
